Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
NOTE11_NAME,Submarine Progress,Avancée des sous-marins,U-Boot-Fortschritt,Progressi con i sottomarini,Progresso dos Submarinos,Progreso submarino,Прогресс по подлодкам,잠수함 운송 진척 상황,潜艇进展
NOTE11_TEXT,"Hammond,

Re: The Kazakhs' demand for half a dozen submarines, we've found a way to surmount the latest logistical hurdle, but you're not going to like it. Zhansaya put me in contact with laid off employees of a Russian military contractor who claim they can *disassemble* the vessels, fit the pieces into the freight elevator, and then *reassemble* them on the other side. Of course we haven't revealed yet the real reasons we are doing this, but we're going to have to, eventually. And the cost for all this, plus their silence? Roughly $220 million altogether. Not including the cost of the subs themselves. If you're okay with this, let me know and I'll make it happen.

Andrei","Hammond,
 
Re: Les Kazakhs exigent une demi-douzaine de sous-marins. Nous avons trouvé le moyen de surmonter le dernier obstacle logistique, mais ça ne va pas te plaire. Zhansaya m'a mis en contact avec les employés licenciés d'un contractuel militaire russe. Ils affirment pouvoir *démonter* les vaisseaux, entreposer les pièces dans l'ascenseur de fret et puis les *reconstruire* une fois de l'autre côté. Bien sûr, je ne leur ai pas révélé les vraies raisons de notre démarche, mais on sera bien obligés de le faire, à un moment donné. Et le coût de tout ça, sans parler de leur silence ? Environ $220 millions pour tous. Ça ne prend pas en compte le prix des sous-marins. Si ça te va, préviens-moi et je m'arrangerai pour que ça soit fait.
 
Andrei","Hammond,
 
 
 
AW: Die Nachfrage der Kasachen nach einem halben Dutzend U-Booten, wir haben einen Weg gefunden, die letzte logistische Hürde zu überwinden, aber es wird dir nicht gefallen. Zhansaya hat mich mit entlassenen Angestellten eines russischen Militärunternehmens in Kontakt gebracht, die behaupten, sie könnten die Schiffe *auseinandernehmen*, die Teile in den Lastenaufzug einbauen und sie dann auf der anderen Seite *wieder zusammensetzen*. Natürlich haben wir die wahren Gründe, warum wir das tun, noch nicht enthüllt, aber wir werden es irgendwann tun müssen. Und die Kosten für all das, plus ihr Schweigen? Ungefähr 220 Millionen Dollar insgesamt. Nicht eingerechnet die Kosten der U-Boote selbst. Wenn du damit einverstanden bist, lass es mich wissen und ich werde es möglich machen.
 
 
 
Andrei","Hammond, 
 
in seguito alla richiesta dei kazaki di mezza dozzina di sottomarini, abbiamo trovato un modo per sormontare l'ultimo ostacolo logistico, ma non credo che ti piacerà. Zhansaya mi ha messo in contatto con un gruppo di ex-appaltatori dell'esercito russo che affermano di poter *disassemblare* le navi, inserire le parti nel montacarichi, e poi *riassemblarle* dall'altro lato. Ovviamente non abbiamo ancora rivelato loro ciò che stiamo facendo qui, ma prima o poi dovremo farlo. Il costo di tutto questo, incluso il loro silenzio, è di circa 220 milioni di dollari. Escluso il costo dei sottomarini stessi. Se per te va bene, fammelo sapere e avvierò l'operazione.
 
Andrei","Hammond,
  
Re: A demanda dos cazaques por meia dúzia de submarinos. 
 
Nós encontramos uma maneira de superar o último obstáculo logístico, mas você não vai gostar. Zhansaya me colocou em contato com funcionários demitidos de um empreiteiro militar russo que afirmam que podem *desmontar* as embarcações, encaixar as peças no elevador de carga e, em seguida, *remontá-las* do outro lado. É claro que ainda não revelamos os verdadeiros motivos de estarmos fazendo isso, mas isso vai ter de acontecer, eventualmente. E o custo de tudo isso, mais o silêncio deles? Ao todo, cerca de $ 220 milhões. Não incluindo o custo dos próprios submarinos. Se você concordar com isso, me avise e eu farei acontecer.
  
Andrei","Hammond:
  
En cuanto al pedido de los kazajos de seis submarinos, encontramos la manera de superar el último problema logístico, pero no te gustará ni un poquito. Zhansaya me puso en contacto con exempleados de un contratista militar ruso que dicen que pueden *desarmar* los navíos, colocar las partes en el ascensor de carga y *volver a armarlos* del otro lado. Por supuesto que aún no saben la verdadera razón por la que estamos haciendo esto, pero tendrán que saberlo, tarde o temprano. ¿Cuánto saldrá todo esto, más su silencio? Todo, unos $220.000.000. Sin contar el precio de los submarinos. Si te parece bien, házmelo saber y lo concretamos.
  
Andrei","Хаммонд,
 
 
 
Ответ: Казахи требуют шесть подлодок. Мы нашли способ разобраться с последней логистической накладкой, но вам это не понравится. Жансая свела меня с бывшими российскими военнослужащими, которые утверждают, что могут *разобрать* подлодки на одной стороне, погрузить их в грузовой лифт и затем *собрать* на другой. Конечно же, мы пока не раскрыли настоящей причины всего этого, но в конце концов нам придется это сделать. И стоит это будет немало, а еще этим за молчание плати? Все вместе примерно 220 миллионов долларов. И это я еще сами подлодки не посчитал. Если такой расклад подходит, дайте знать, и я обо всем позабочусь.
 
 
 
Андрей","수신: 해먼드
제목: 회신 - 카자흐 측 잠수함 6척 요구 건

최근 우리가 직면했던 물류 운송의 난관을 극복할 방법을 찾았습니다만, 아마 마음에 들지 않으실 겁니다. 잔사야가 러시아 방산업체에서 해고된 전직 직원들과 선을 대주었는데, 그들 말로는 잠수함을 완전히 분해해서 화물 엘리베이터에 실은 다음, 반대편 구역에서 다시 조립할 수 있다고 하더군요.

물론 우리가 이 일을 벌이는 진짜 목적을 아직 그들에게 밝히진 않았지만, 결국엔 털어놓아야 할 겁니다. 이 모든 작업 비용에 그들의 입막음 대가까지 합치면 얼마인지 아십니까? 전부 합쳐 대략 2억 2천만 달러에 달합니다. 잠수함 본품 가격은 제외하고서 말입니다.

승인해 주신다면 즉각 진행하겠습니다.

안드레이","哈蒙德：

关于“哈萨克人索要六艘潜艇”一事，我们有办法克服最新遇到的物流难题了，不过这个办法你估计不会喜欢。扬萨娅让我联系上了俄罗斯某个军火商的裁退雇员，对方说自己能够“拆解”潜艇，将其送进货用电梯，到了那边之后，再“组装回去”。当然，我们还没向对方透露这件事情的真实目的，不过只是早晚的事情。各个方面的相关费用加上封口费？总共差不多2.2亿美元，不含潜艇自身的支出。你要是觉得这个方法可以，就告诉我，我就让他们开工。

安德烈"
NOTE12_NAME,"Companies Lays Off Thousands, Turn Profit","Après des licenciements en masse, les profits des entreprises décollent","Unternehmen entlassen Tausende, machen Gewinn",Le aziende licenziano migliaia di dipendenti e generano profitto,Empresas demitem milhares para lucrar mais,Las empresas despiden a miles y aumentan sus ganancias,Компании увольняют тысячи людей и навариваются на этом,대기업들 수만 명 해고 후 흑자 달성,企业裁员数十万，转亏为盈
NOTE12_TEXT,"December 20, 2044

As millions are plunging into poverty, the economic crisis has nevertheless surfaced a clear winner: big business. Despite collectively cutting more than 300,000 workers, 47 of the top 50 public traded companies posted a profit this quarter.

“Either we eliminate 10% this year or 100% next year,” said CEO Indra Chaudhari, seemingly tone deaf to the plight of thousands of Globe 3 employees laid off since the onset of the crisis in 2043. Her company raked in profits of $232 billion since then.","20 décembre 2044
 
 Tandis que des millions sombrent dans la pauvreté, la crise économique a néanmoins désigné un grand gagnant : les grands patrons. Après avoir licencié collectivement plus de 300 000 travailleurs, 47 des 50 plus grandes entreprises commerciales publiques ont enregistré un profit lors de ce trimestre.
 
 « Si on n'élimine pas 10 % cette année, ce sera 100 % l'année prochaine » a déclaré la PDG Indra Chaudhari, apparemment insensible à la supplique des milliers d'employés de Globe 3 congédiés depuis le début de la crise de 2043. Son entreprise a cumulé un profit de $232 milliards depuis.","20. Dezember 2044
 
 
 
Während Millionen in Armut stürzen, hat die Wirtschaftskrise dennoch einen klaren Gewinner hervorgebracht: das Großkapital. Trotz der kollektiven Entlassung von mehr als 300.000 Arbeitern, haben 47 der 50 größten börsennotierten Unternehmen in diesem Quartal einen Gewinn erzielt. 
 
 
 
„Entweder wir streichen 10 % in diesem Jahr oder 100 % im nächsten Jahr“, sagte CEO Indra Chaudhari, scheinbar unsensibel gegenüber der Notlage von tausenden von Globe-3-Mitarbeitern, die seit Beginn der Krise im Jahr 2043 entlassen wurden. Ihr Unternehmen hat seither einen Gewinn von 232 Milliarden Dollar eingefahren.","20 Dicembre, 2044 
 
Mentre milioni di persone sono finite in povertà, la crisi economica ha rivelato un vincitore chiarissimo: le grandi aziende. Nonostante abbiano tagliato collettivamente oltre 300.000 posti di lavoro, 47 tra le più importanti 50 società quotate hanno registrato un profitto in questo trimestre. 
 
""Possiamo tagliare il 10% dei posti di lavoro ora o il 100% l'anno prossimo"", ha affermato la CEO Indra Chaudhari, rivelandosi sorda al grido di dolore dei migliaia di dipendenti della Globe 3 licenziati a causa della crisi del 2043. Da allora l'azienda ha accumulato circa 232 miliardi di dollari di profitto.","""20 de dezembro de 2044
  
Enquanto milhões estão mergulhando na pobreza, a crise econômica trouxe à tona um claro vencedor: as grandes empresas. Apesar do corte coletivo de mais de 300.000 trabalhadores, 47 das 50 maiores empresas de capital aberto registraram lucro neste trimestre.
  
“Ou eliminamos 10% este ano ou 100% no próximo”, disse a CEO Indra Chaudhari, aparentemente surda para a situação de milhares de funcionários da Globe 3 demitidos desde o início da crise em 2043. Sua empresa teve um lucro de $ 232 bilhões desde então.""","20 de diciembre de 2044
  
Millones de personas caen en la pobreza, y la crisis económica nos permite ver sus claras ganadoras: las grandes empresas. A pesar de despedir a más de 300.000 trabajadores en conjunto, 47 de las 50 empresas de capital abierto líderes presentaron ganancias este trimestre.
  
""O eliminamos un 10% este año o el 100% el año próximo"", declaró la directora ejecutiva Indra Chaudhari, haciendo oídos sordos a los pedidos de ayuda de los miles de empleados que despidió Globe 3 desde el inicio de la crisis en 2043. Desde ese momento, su empresa acumula ganancias por $232.000.000.000.","20 декабря 2044 года
 
В то время как миллионы людей живут за чертой бедности, у нас намечается новый победитель: большие корпорации. Несмотря на то, что за время экономического кризиса более 300 тысяч человек потеряли рабочие места, 47 из 50 торгующих на бирже компаний отчитались о приросте доходов за этот квартал. 
 
""Мы либо увольняем 10% сейчас, либо 100% в следующем году"", — сообщила управляющая Индра Чаудхари, похоже, совершенно не беря во внимание плачевное состояние тысяч работников Глоуб-3, уволенных после начала кризиса 2043 года. С того момента прирост прибыли ее компании составил 232 миллиарда долларов.","2044년 12월 20일

수백만 명이 빈곤층으로 전락하는 와중에도, 이번 경제 위기는 명확한 승자를 만들어냈다. 바로 대기업이다. 도합 30만 명이 넘는 인력을 감원했음에도 불구하고, 상위 50대 상장 기업 중 무려 47곳이 이번 분기에 흑자를 기록했다.

""올해 10%를 감원하지 않으면, 내년에는 100%를 잃게 될 것입니다."" 인드라 차우다리 CEO의 이 발언은 2043년 경제 위기 발발 이래 일자리를 잃은 수천 명의 '글로브 3' 직원들이 처한 참상에 한없이 무감각해 보였다. 그녀가 이끄는 회사는 사태 이후 무려 2,320억 달러의 막대한 수익을 쓸어 담았다.","2044年12月20日

尽管经济危机已令上亿人口陷入贫困，大型企业显然却成为了最大的赢家。排名前50的上市公司虽然共计裁员逾三十万，47家本季度已转亏为盈。

因德拉·乔杜里表示：“我们要么今年裁10%，要么明年全部失业。”2043年经济危机爆发以来，环球3营收共计2320亿美元。与此同时，公司共有数万人下岗失业，然而这位首席执行官似乎对此熟视无睹。"
NOTE13_NAME,Hammond Corp Posts Record Losses,Hammond Corp enregistre des pertes record,Hammond Corp verzeichnet Rekordverluste,La Hammond Corp registra perdite record,Corporação Hammond registra recorde de perdas,Hammond Corp. presenta récord de pérdidas,Хаммонд-Корп отчитывается о рекордных убытках,"해먼드 사, 사상 최대 적자 기록",哈蒙德集团财报亏损打破历史记录
NOTE13_TEXT,"Updated May 12, 2049 4:22 PM ET

Hammond Corp lost a record $57 billion in the fiscal year ending in March, the company announced today. It was the fifth straight year the company finished with a loss. A restructuring plan was announced, with CEO Elizabeth Hammond promising to cut the volume of ansibles produced. The beleaguered executive has been criticized in recent years of being out of touch when discussing her future vision of the technology, often focusing on unrelated projects such as the $5 billion government contract to support research at Jones Station, Antarctica.","Mis à jour le 12 mai 2049 à 16h22 (EST)
 
 La firme Hammond Corp a annoncé aujourd'hui avoir comptabilisé des pertes record s'élevant à $57 milliards pour l'année fiscale s'achevant en mars. C'est la cinquième année consécutive que la compagnie termine dans le rouge. Un plan de restructuration a été annoncé, et la Présidente, Elizabeth Hammond, a promis de réduire la production des ansibles. Depuis quelques années, on reproche à la Présidente en difficulté d'avoir une vision de l'avenir technologique déconnectée de la réalité, et de se concentrer plutôt sur des projets sans rapport, comme que le contrat de $5 milliards signé avec le gouvernement et visant à soutenir les recherches à la Station Jones, en Antarctique.","Aktualisiert am 12. Mai 2049, 16:22 Uhr ET
 
 
 
Hammond Corp hat im Geschäftsjahr, das im März endete, einen Rekordverlust von 57 Milliarden Dollar eingefahren, gab das Unternehmen heute bekannt. Es war das fünfte Jahr in Folge, das das Unternehmen mit einem Verlust abschloss. Ein Restrukturierungsplan wurde angekündigt, wobei CEO Elizabeth Hammond versprach, das Produktionsvolumen von Ansibles zu reduzieren. Die angeschlagene Geschäftsführerin wurde in den letzten Jahren dafür kritisiert, dass sie bei der Diskussion über ihre Zukunftsvision der Technologie nicht auf dem Laufenden ist und sich oft auf nicht verwandte Projekte konzentriert, wie zum Beispiel den 5 Milliarden Dollar schweren Regierungsvertrag zur Unterstützung der Forschung in der Jones Station in der Antarktis.","Aggiornato il 12 maggio, 2049, 4:22 PM (EST) 
 
Oggi la Hammond Corp ha annunciato di aver registrato una perdita di 57 miliardi di dollari nell'anno fiscale che termina a Marzo. È il quinto anno di fila che la compagnia chiude in perdita. La CEO Elizabeth Hammond ha annunciato un piano di ristrutturazione, anticipando un taglio nella produzione degli ansible. La tormentata dirigente è stata molto criticata negli ultimi anni per aver perso il contatto con la realtà a proposito del futuro della tecnologia, concentrandosi spesso su progetti apparentemente non correlati, come il contratto governativo di 5 miliardi di dollari per supportare la ricerca nella Stazione Jones, in Antartide.","""Atualizado em 12 de maio de 2049, às 4:22 PM ET
  
A Corporação Hammond registrou uma perda de $ 57 bilhões no ano fiscal encerrado em março, anunciou a empresa hoje. Foi o quinto ano consecutivo em que a empresa terminou com prejuízo. Um plano de reestruturação foi anunciado, com a CEO Elizabeth Hammond prometendo cortar o volume de ansibles produzidos. A executiva foi criticada nos últimos anos por estar ""fora da realidade"" ao discutir sua visão futura da tecnologia, muitas vezes focando em projetos não relacionados, como o contrato do governo de $ 5 bilhões para apoiar a pesquisa na Estação Jones, na Antártica.""","Última actualización: 12 de mayo de 2049, 16:22
  
Hammond Corp. registró una cifra récord de pérdidas: $57.000.000.000 en el año fiscal que finaliza en marzo, según indican fuentes oficiales. Para la empresa, fue el quinto año consecutivo que termina en déficit. Se anunció un plan de reestructuración, y la directora ejecutiva Elizabeth Hammond prometió reducir el volumen de producción de ansibles. La ejecutiva fue el objeto de críticas severas durante los últimos años debido a su anticuada visión del futuro de la tecnología, que se enfoca en proyectos aislados, como el contrato estatal de $5.000.000.000 para desarrollar la estación de investigación Jones en la Antártida.","Обновлено: 12 мая 2049 года, 16:22 (восточное время)
 
Хаммонд-Корп сегодня сообщила, что несет рекордные убытки в 57 миллиардов долларов в этом фискальном году, который кончается в марте. Это уже пятый подряд неудачный год для компании. Управляющая компании Элизабет Хаммонд объявила, что она думает о скорой реорганизации посредством уменьшения количества производимых ансиблей. Прогоревшую управляющую все последние годы активно критиковали за полное непонимание и нечеткое представление о будущем развития технологий, а также за трату ресурсов на сторонние проекты, такие как пятимиллиардный государственный контракт на поддержку исследовательской Станции Джонса в Антарктиде.","업데이트: 2049년 5월 12일 오후 4:22 (미 동부 표준시)

해먼드 사는 지난 3월로 마감된 회계연도에 사상 최대 규모인 570억 달러의 순손실을 기록했다고 오늘 발표했다. 이로써 해먼드 사는 5년 연속 적자로 한 해를 마무리하게 되었다. 회사 측은 구조조정안을 발표했으며, 엘리자베스 해먼드 최고경영자는 앤서블 생산량을 감축하겠다고 공언했다. 위기에 몰린 해먼드 CEO는 최근 몇 년간 회사의 미래 기술 비전을 논하는 자리에서 현실과 동떨어진 모습을 보인다는 거센 비판을 받아왔다. 특히 남극 존스 기지의 연구를 지원하는 50억 달러 규모의 정부 계약 등 본업과 무관한 프로젝트에 자주 몰두하는 행보가 도마 위에 올랐다.","2049年东部时间5月12日16:22更新

哈蒙德集团今日公布公司在三月结束的财年中亏损570亿美元，创下历史亏损新高，同时标志该公司已持续亏损五年。首席执行官伊丽莎白·哈蒙德公布了集团重组的计划，同时承诺削减安塞波产量。这位高管每次畅想这项技术的未来前景，时常重点介绍无关公司业务的项目，例如支持南极琼斯科考站这一价值50亿美元的政府项目，近年来因而广受抨击。"
NOTE14_NAME,Journal Entry - Dangerous Ideas,Entrée du journal - Des idées dangereuses,Tagebucheintrag – Gefährliche Ideen,Voce del diario - Idee pericolose,Registro do diário - Ideias perigosas,Entrada de diario: ideas peligrosas,Запись в дневнике: Опасные идеи,일기 - 위험한 발상,日记 - 危险的想法
NOTE14_TEXT,"It seems that regardless of every gift the Lamassu bestows, the Udug counter with stronger attacks and improved strategies. We have long wondered at their witchcraft. At last we are starting to understand how we might harness it ourselves.

But manipulating the invisible lattice which is the center of the Udug's power requires a mental facility beyond the simple computing machines we have been using, and the Lamassu is not forthcoming with solutions. It seems conflicted, reluctant to help us violate the edicts of gods long dead, yet eager for us to outwit it and perform such violations anyway.

The compromise we've arrived at is a terrifying one. But if it does not succeed, it may be the end of us.

Aradlugal","Malgré tous les dons que nous prodigue le Lamassu, il semble que les Udug parviennent à riposter avec des attaques plus puissantes et des stratégies améliorées. Leur sorcellerie ne cesse de nous surprendre. Au moins, nous commençons à comprendre comment nous pourrons peut-être la maîtriser nous-mêmes.
 
Mais manipuler le maillage invisible qui entoure le pouvoir des Udug requiert des facultés mentales surpassant les simples machines informatiques que nous utilisons, et le Lamassu n'est pas disposé à communiquer des solutions. Il semble tiraillé, réticent à nous aider à violer les lois de dieux morts depuis une éternité, et pourtant désireux qu'on se montre plus malin que lui en exécutant quand même ces violations.
 
Le compromis que nous avons trouvé est des plus terrifiants. Mais, s'il ne réussit pas, ce sera peut-être la fin pour nous.
 
Aradlugal","Es scheint, dass die Udug unabhängig von jedem Geschenk des Lamassu, mit stärkeren Angriffen und verbesserten Strategien kontern. Wir haben uns lange über ihre Hexenkunst gewundert. Endlich fangen wir an zu verstehen, wie wir sie uns selbst zunutze machen können.
 
 
 
Aber die Manipulation des unsichtbaren Gitters, das das Zentrum der Macht der Udug ist, erfordert eine mentale Fähigkeit, die über die einfachen Computermaschinen hinausgeht, die wir bisher benutzt haben, und der Lamassu ist nicht bereit, uns Lösungen anzubieten. Er scheint im Zwiespalt zu sein, da er uns nicht dabei helfen will, gegen die Erlasse längst verstorbener Götter zu verstoßen, aber dennoch darauf erpicht ist, dass wir ihn überlisten und solche Verstöße trotzdem begehen.
 
 
 
Der Kompromiss, den wir gefunden haben, ist erschreckend. Aber wenn er nicht gelingt, kann das unser Ende sein.
 
 
 
Aradlugal","Sembra che nonostante i tanti doni offertici dal Lamassu, gli Udug riescano sempre a rispondere con attacchi più potenti e strategie migliori. È da tempo che ci interroghiamo sulle loro stregonerie. Almeno ora iniziamo a capire come poterle sfruttare anche noi. 
 
Purtroppo, per manipolare il reticolo invisibile che è al centro del potere degli Udug, ci vuole una capacità mentale che va ben oltre le semplici macchine computazionali che stiamo usando, e il Lamassu non trova una soluzione. Sembra combattuto, riluttante ad aiutarci a violare gli editti di dèi da lungo tempo defunti, e allo stesso tempo ansioso di vederci superarli in astuzia e commettere quindi la medesima violazione. 
 
Il compromesso a cui siamo arrivati è terrificante. Ma se non dovessimo avere successo, per tutti noi potrebbe essere la fine
 
Aradlugal","Parece que, independentemente de cada presente que Lamassu nos concede, os Udug rebatem com ataques mais fortes e estratégias aprimoradas. Há muito tempo nos perguntamos sobre a bruxaria deles. Finalmente estamos começando a entender como podemos controlá-la nós mesmos.
  
Mas manipular a rede invisível que é o centro do poder dos Udug requer uma instalação mental muito além das simples máquinas de computação que temos usado, e Lamassu não está apresentando soluções. Parece conflitante, relutante em nos ajudar a violar os decretos de deuses mortos há muito tempo, mas ansioso para que possamos enganá-lo e realizar tais violações de qualquer maneira.
  
O compromisso a que chegamos é assustador. Mas se não der certo, pode ser o nosso fim.
  
Aradlugal","Parece que, sin importar cuántos regalos nos otorgue la Lamassu, los udugs responden con ataques más fuertes y estrategias aún mejor planeadas. Hace tiempo que nos maravillamos con su hechicería. Por fin estamos cerca de entender cómo podríamos conjurarla nosotros.
  
Sin embargo, manipular el entramado invisible que conforma el núcleo del poder de los udugs requiere una capacidad mental que supera las simples máquinas de computación que hemos estado usando, y la Lamassu no nos provee de soluciones. Parece estar... vacilante, como si no quisiera ayudarnos a profanar los edictos de dioses ya muertos hace tiempo; pero, al mismo tiempo, pareciera que busca promover esas mismas transgresiones.
  
El arreglo al que llegamos es aterrador. Y si no triunfamos, podría ser nuestro fin.
  
Aradlugal","Похоже, что на каждый новый дар Ламассу Удуг отвечают усиленными атаками и улучшенными стратегиями. Долго мы не могли понять их колдовства. Теперь же мы начинаем отчасти понимать, как мы может обратить его в нашу пользу.
 
Но управление невидимой сеткой, которая является центром силы Удуг, требует от нас ментальной силы намного большей, чем сейчас могут предоставить нам наши вычислительные машины. Ламассу же не спешит находить новые решения. Он, похоже, сам находится на распутье, не желая нарушать эдикты давно почивших богов, при этом всячески требуя от нас обойти их хитростью и все же нарушить их самостоятельно.

В итоге мы пришли у ужасному компромиссу, но если и это не сработает, то нам, похоже, конец.
  
Арадлугал","라마수가 우리에게 어떤 축복을 내리든, 우두그는 언제나 더 거센 맹공과 진일보한 전술로 응수해 온다. 우리는 오랫동안 그들의 기이한 주술에 경악해 왔다. 그리고 마침내, 우리 역시 그 힘을 어떻게 길들일 수 있을지 그 방도를 깨우치기 시작했다.

하지만 우두그의 힘을 지탱하는 '보이지 않는 격자'를 통제하려면, 우리가 사용해 온 단순한 연산 기계들을 아득히 초월하는 정신적 역량이 요구된다. 그러나 라마수는 이에 대한 해결책을 선뜻 내놓지 않고 있다. 오래전 죽은 신들의 율법을 거스르는 일에 가담하기는 꺼리면서도, 동시에 우리가 자신을 기만하고 기어이 그 금기를 깨트려 주기를 바라는 듯 지독한 모순에 빠져 있는 모양새다.

결국 우리가 도달한 타협점은 등골이 서늘해질 만큼 끔찍한 것이다. 그러나 이마저도 실패로 돌아간다면, 우리에겐 진정 파멸뿐일지도 모른다.

아라드루갈","无论拉玛苏赐予我们什么，乌图库反击的攻势似乎都更加猛烈，战略也更加高明。长久以来，邪神的巫术令我们诚惶诚恐，不过我们现在终于逐渐了解驾驭巫术的方法。

可是，乌图库法力的关键在于一种隐形网格，想要操纵这种结构需要超越朴素计算机器的精神力量，而且拉玛苏也不愿向我们提供解决办法。它似乎十分矛盾，一面不愿协助我们违背消亡已久的众神的敕令，一面又迫切希望我们自己能够想出更为高明的办法，即便违背众神敕令也没关系。

我们最终达成了骇人的妥协，倘若这个方案没有成功，我们或许就将面临灭种之灾。

阿拉德卢噶尔"
NOTE15_NAME,Commemorative Speech,Discours de commémoration,Gedenkrede,Discorso commemorativo,Palestra comemorativa,Discurso conmemorativo,Памятная речь,기념 연설,追缅致辞
NOTE15_TEXT,"Today marks the first anniversary of the Invasion of Engur, a battle that will surely be recounted for ages to come. On that day our bravest warriors, led by the all powerful Wielders, made the first push into the watery caverns of the Udug. Shocked to find a world as dark as it is vast, many fell that day, but we nevertheless held strong, driving our foes back with the holy powers granted by the gods. Raise a chalice to our heroes, alive and fallen alike, may the gods be with them!

Melem-Ana, Lord of Kiengir and King of all the Land","Aujourd'hui marque le premier anniversaire depuis l'Invasion d'Engur, une bataille dont on se souviendra pendant encore de nombreuses générations. Ce jour-là, nos plus vaillants guerriers, menés par les Hérauts tout-puissants, ont lancé la première percée dans les grottes humides des Udug. Surpris par ce monde aussi sombre que vaste, nombreux périrent en cette journée funeste, mais notre courage ne décrut pas, et notre persévérance parvint à repousser les démons grâce aux puissances sacrées accordées par les dieux. Levons nos coupes en l'honneur de nos héros, ceux qui sont tombés et ceux qui sont parmi nous. Les dieux soient toujours avec eux !
 
 Melem-Ana, Seigneur de Kiengir et Roi sur toutes la Terre","Heute jährt sich zum ersten Mal die Invasion von Engur, eine Schlacht, von der sicherlich noch lange Zeit erzählt werden wird. An diesem Tag unternahmen unsere tapfersten Krieger, angeführt von den allmächtigen Trägern, den ersten Vorstoß in die wasserreichen Höhlen der Udug. Geschockt, eine Welt vorzufinden, die ebenso dunkel wie riesig ist, fielen viele an diesem Tag, aber wir hielten stand und trieben unsere Feinde mit den heiligen Kräften zurück, die uns die Götter verliehen. Erhebt den Kelch auf unsere Helden, ob lebend oder gefallen, mögen die Götter mit ihnen sein!
 
 
 
Melem-Ana, Herr von Kiengir und König des ganzen Landes","Oggi ricorre il primo anniversario dell'Invasione di Engur, una battaglia che verrà sicuramente ricordata per generazioni. In quel giorno, i nostri più valorosi guerrieri, guidati dai potentissimi Portatori, riuscirano a compiere i primi passi nelle caverne acquatiche degli Udug. Essi rimasero scioccati nel trovare un mondo tanto oscuro e vasto. Furono in molti a cadere quel giorno, ma ciò nonostante rimanemmo uniti, scacciando indietro i nostri nemici grazie ai santi poteri garantiti dagli dèi. Sollevate i calici per i nostri eroi, sia i vivi che i caduti, e che gli déi possano benedirli! 
 
Melem-Ana, signore di Kiengir e Re di tutte le terre","""Hoje marca o primeiro aniversário da Invasão de Engur, uma batalha que certamente será contada por séculos. Naquele dia nossos mais bravos guerreiros, liderados pelos todos poderosos Portadores, realizaram o primeiro avanço nas cavernas aquáticas dos Udug. Chocados por encontrar um mundo tão escuro quanto vasto, muitos caíram naquele dia, mas mesmo assim nos mantivemos firmes, repelindo nossos inimigos com os poderes sagrados concedidos pelos deuses. Levante um cálice para nossos heróis, vivos e caídos, que os deuses estejam com eles!
  
Melem-Ana, Senhor de Kiengir e Rei de todas as terras ""","Hoy se celebra el primer aniversario de la Invasión de Engur, una batalla que será recordada por siempre. Aquella jornada, nuestros guerreros más valientes, liderados por los canalizadores todopoderosos, lanzaron el primer avance hacia las húmedas cavernas de los udugs. Muchos cayeron ese día, aturdidos por el conocimiento de un mundo tan oscuro como vasto, pero nos mantuvimos firmes y arrollamos al enemigo con los poderes sacros que nos otorgaron los dioses. ¡Alcemos un cáliz por nuestros héroes, vivos o caídos! ¡Que los dioses los acompañen!
  
Melem-Ana, señor de Kiengir y Rey de Todas las Tierras","Сегодня первая годовщина с момента вторжения Энгур — битвы, которую будут вспоминать еще долгие лета. В тот день наши храбрые воины, ведомые могучими Владельцами, совершили первый прорыв в водные пещеры Удуг. Пораженные их размерами и непроглядной тьмой, многие из них погибли в тот день, но мы стояли до конца, изгоняя наших врагов с помощью священных сил, дарованных нам богами. Поднимем же чашу за наших геровев, живых поныне и павших тогда, да прибудут с ними боги!
 
Мелем-Ана, Владыка Киенгира и Царь всех земель","오늘은 후대에도 길이 회자될 위대한 전투, 엔구르 침공의 1주년이 되는 날이다. 그날, 우리의 가장 용맹한 전사들은 막강한 권능을 지닌 윌더들의 이끎에 따라 우두그 무리가 도사린 물에 잠긴 지하 동굴로 첫 진격을 감행했다. 그토록 거대하고 칠흑같이 어두운 심연의 세계를 마주한 충격 속에서 그날 수많은 이들이 스러져갔다. 허나 우리는 끝내 굳건히 버텨냈고, 신들께서 하사하신 거룩한 힘으로 적들을 몰아냈다. 산 자와 죽은 자 모두, 우리의 영웅들을 위해 잔을 높이 들어라! 신들의 가호가 그들과 영원히 함께하기를!

키엔기르의 군주이자 온 대지의 제왕, 

멜렘-아나","去年今日，列位持者率领我们最为勇猛的战士，首次打入乌图库的洞窟。水下世界暗无天日，茫无边际，众人惊骇，多位勇士战死其中。我军借众神所赐神圣之力，英勇奋战，令敌人节节败退。恩古鲁侵袭一役至今已有一年，后世必将永世传颂。我们举起酒杯，向牺牲与健在的英雄致敬，愿众神与他们同在！

齐恩基鲁领主暨率土之王麦勒姆-阿纳"
NOTE16_NAME,Heretic's Granddaughter,Petite-fille de l'hérétique,Ketzerische Enkelin,Nipote dell'eretica,Neta da Herege,Nieta de la hereje,Внучка еретика,이단자의 손녀,异教徒的外孙女
